ID,Hotel_name,Marks,City,Satisfaction,Reviews,Price,Distances,Discriptions,Stars,Breakfast
5234,City Solei Boutique Hotel,9.1,StareMiastoDistrict,Wonderful,1198,272,0.4,Comfort Single Room,4,Not included
5243,Meet Poznań Hotel,9.1,NoweMiasto,Wonderful,865,168,3.4,Standard Single Room,3,Not included
5247,Apartament Nadolnik,9.3,NoweMiasto,Wonderful,70,192,3.1,One-Bedroom Apartment,3,Not included
5250,Apartament Broadway,9.0,StareMiastoDistrict,Wonderful,131,204,0.6,Studio Apartment,3,Not included
5254,Hampton By Hilton Poznan Old Town,9.0,StareMiastoDistrict,Wonderful,3842,342,0.4,Queen Room,3,Breakfast included
5257,City Solei Boutique Hotel,9.1,StareMiastoDistrict,Wonderful,1198,272,0.4,Comfort Single Room,4,Not included
5261,PREMIUM Apartments RATUSZOVA AD 1954 Stary Rynek Old Market Square,9.4,StareMiastoDistrict,Wonderful,312,722,0.05,Deluxe Junior Suite,4,Not included
5268,Meet Poznań Hotel,9.1,NoweMiasto,Wonderful,865,168,3.4,Standard Single Room,3,Not included
5277,Apartament Nadolnik,9.3,NoweMiasto,Wonderful,70,192,3.1,One-Bedroom Apartment,3,Not included
5280,Apartament Broadway,9.0,StareMiastoDistrict,Wonderful,131,204,0.6,Studio Apartment,3,Not included
5284,Apartamenty Klasztorna 25,9.0,StareMiastoDistrict,Wonderful,1081,279,0.1,Single Room,3,Not included
5289,PREMIUM Apartments RATUSZOVA AD 1954 Stary Rynek Old Market Square,9.4,StareMiastoDistrict,Wonderful,312,722,0.05,Deluxe Junior Suite,4,Not included
5299,Piper Cytadela Apartament,9.1,StareMiastoDistrict,Wonderful,156,950,1.8,Deluxe Apartment,3,Not included
5300,ONE Apartamenty Gąsiorowskich 4,9.2,Grunwald,Wonderful,340,250,2.2,Studio Apartment,3,Not included
5301,Sleepway Apartments - Blue Dream,9.2,StareMiastoDistrict,Wonderful,157,240,0.5,One-Bedroom Apartment,3,Not included
5305,TCZ Woźna,9.0,StareMiastoDistrict,Wonderful,385,270,0.2,Superior Double Room,0,Not included
5306,City Center House Elephant,9.3,Grunwald,Wonderful,191,288,4.9,Double Room,3,Not included
5310,Sleepway Apartments - Red Metro,9.1,StareMiastoDistrict,Wonderful,178,250,0.5,Studio Apartment,3,Not included
5315,City Center House Elephant,9.3,Grunwald,Wonderful,191,288,4.9,Double Room,3,Not included
5316,Piper Cytadela Apartament,9.1,StareMiastoDistrict,Wonderful,156,950,1.8,Deluxe Apartment,3,Not included
5318,Apple Park,9.3,Wilda,Wonderful,899,269,1.7,Deluxe Apartment,3,Not included
5320,Sleepway Apartments- Green Dream,9.1,StareMiastoDistrict,Wonderful,194,250,0.5,One-Bedroom Apartment,3,Not included
5322,Aparthotel Fortune Old Town,9.1,StareMiastoDistrict,Wonderful,654,299,0.45,Double Room,3,Not included
5326,Śródka Boutique Hotel,9.2,NoweMiasto,Wonderful,1252,234,1.4,Single Room,3,Not included
5327,Sleepway Apartments - Garbary 95-112a,9.1,StareMiastoDistrict,Wonderful,150,260,0.5,One-Bedroom Apartment,3,Not included
5331,H31,9.0,Grunwald,Wonderful,332,260,5,Small Single Room,3,Not included
5332,PREMIUM Apartments RATUSZOVA AD 1954 Stary Rynek Old Market Square,9.4,StareMiastoDistrict,Wonderful,312,722,0.05,Deluxe Junior Suite,4,Not included
5338,Sleepway Apartments -Boho Chic,9.3,StareMiastoDistrict,Wonderful,29,240,0.7,One-Bedroom Apartment,3,Not included
5340,EL Apartments - Antares,9.3,StareMiastoDistrict,Wonderful,116,470,0.4,One-Bedroom Apartment,3,Not included
5341,Apple Green Apartments,9.1,Wilda,Wonderful,592,260,1.3,Superior Apartment,3,Not included
5344,EL Apartments - Solaris,9.4,StareMiastoDistrict,Wonderful,70,420,0.6,One-Bedroom Apartment,3,Not included
